SIBS,DEGREE,PADEG,MADEG,SEX,MAJOR1,DIPGED,FAMILY16,PARBORN,GRANBORN,POLVIEWS,INCOME
2.0,GRADUATE,HIGH SCHOOL,BACHELOR,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,40000
0.0,GRADUATE,BACHELOR,BACHELOR,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,20000
1.0,BACHELOR,GRADUATE,BACHELOR,MALE,Criminology/Criminal Justice,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,8000
1.0,BACHELOR,HIGH SCHOOL,GRADUATE,MALE,Criminology/Criminal Justice,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,40000
1.0,BACHELOR,GRADUATE,BACHELOR,FEMALE,THEATER ARTS,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,30000
2.0,BACHELOR,GRADUATE,BACHELOR,FEMALE,PSYCHOLOGY,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,7000
2.0,BACHELOR,BACHELOR,HIGH SCHOOL,FEMALE,Industrial Relations,High School diploma,M AND F RELATIVES,NEITHER IN U.S,4.0,MODERATE,35000
0.0,GRADUATE,GRADUATE,HIGH SCHOOL,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,75000
2.0,BACHELOR,GRADUATE,BACHELOR,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,30000
2.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,MUSIC,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,75000
3.0,BACHELOR,GRADUATE,GRADUATE,MALE,PSYCHOLOGY,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,35000
1.0,JUNIOR COLLEGE,BACHELOR,HIGH SCHOOL,MALE,ENGINEERING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,20000
2.0,JUNIOR COLLEGE,HIGH SCHOOL,GRADUATE,MALE,COMPUTER SCIENCE,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,3000
1.0,BACHELOR,BACHELOR,BACHELOR,MALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,6000
2.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,30000
16.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,FEMALE,COMPUTER SCIENCE,High School diploma,MOTHER,BOTH IN U.S,2.0,LIBERAL,35000
5.0,JUNIOR COLLEGE,LT HIGH SCHOOL,LT HIGH SCHOOL,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & STPFATHER,NEITHER IN U.S,4.0,MODERATE,25000
2.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,MALE,ENGLISH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,40000
1.0,GRADUATE,BACHELOR,HIGH SCHOOL,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,SLGHTLY CONSERVATIVE,40000
1.0,BACHELOR,HIGH SCHOOL,GRADUATE,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,10000
0.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,FEMALE,Ethnic studies,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,ALL IN U.S,MODERATE,17500
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,PSYCHOLOGY,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,25000
1.0,BACHELOR,HIGH SCHOOL,BACHELOR,MALE,ENGINEERING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,50000
2.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,30000
1.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,FEMALE,PSYCHOLOGY,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,20000
4.0,BACHELOR,GRADUATE,BACHELOR,FEMALE,Public Relations,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,8000
0.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,JOURNALISM,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,40000
4.0,JUNIOR COLLEGE,GRADUATE,HIGH SCHOOL,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,FATHER ONLY,2.0,MODERATE,40000
0.0,GRADUATE,LT HIGH SCHOOL,LT HIGH SCHOOL,MALE,ENGINEERING,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,LIBERAL,35000
4.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,FEMALE,NURSING,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,MODERATE,40000
3.0,JUNIOR COLLEGE,JUNIOR COLLEGE,JUNIOR COLLEGE,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,25000
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,Parks and Recreation,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,40000
1.0,JUNIOR COLLEGE,HIGH SCHOOL,LT HIGH SCHOOL,FEMALE,NURSING,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,MODERATE,10000
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,COMMUNICATIONS/SPEECH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,10000
2.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,MALE,LAW ENFORCEMENT,High School diploma,MOTHER & FATHER,FATHER ONLY,2.0,MODERATE,50000
1.0,BACHELOR,BACHELOR,HIGH SCHOOL,MALE,AGRICULTURE/HORTICULTURE,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,35000
5.0,GRADUATE,GRADUATE,BACHELOR,FEMALE,ENGINEERING,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,75000
1.0,BACHELOR,LT HIGH SCHOOL,HIGH SCHOOL,MALE,COMMUNICATIONS/SPEECH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,75000
0.0,GRADUATE,BACHELOR,GRADUATE,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,50000
4.0,GRADUATE,BACHELOR,LT HIGH SCHOOL,MALE,GENERAL SCIENCES,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,60000
1.0,BACHELOR,BACHELOR,HIGH SCHOOL,FEMALE,Child/Human/Family Development,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,60000
2.0,GRADUATE,GRADUATE,GRADUATE,FEMALE,COMM. DISORDERS,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,50000
2.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,CHEMISTRY,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,17500
3.0,GRADUATE,JUNIOR COLLEGE,HIGH SCHOOL,MALE,COMPUTER SCIENCE,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,150000
1.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,FEMALE,BIOLOGY,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,40000
6.0,BACHELOR,GRADUATE,BACHELOR,FEMALE,Ethnic studies,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,ALL IN U.S,MODERATE,7000
2.0,BACHELOR,JUNIOR COLLEGE,HIGH SCHOOL,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,50000
1.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,HEALTH,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,MODERATE,50000
0.0,GRADUATE,GRADUATE,GRADUATE,FEMALE,MUSIC,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,60000
8.0,BACHELOR,BACHELOR,HIGH SCHOOL,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,150000
1.0,GRADUATE,GRADUATE,BACHELOR,FEMALE,LAW,High School diploma,MOTHER & FATHER,BOTH IN U.S,4.0,LIBERAL,40000
4.0,JUNIOR COLLEGE,BACHELOR,HIGH SCHOOL,MALE,ENGINEERING,High School diploma,M AND F RELATIVES,BOTH IN U.S,2.0,CONSERVATIVE,110000
0.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,ACCOUNTING/BOOKKEEPING,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,90000
7.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,MALE,BUSINESS ADMINISTRATION,GED,MOTHER,FATHER ONLY,ALL IN U.S,SLGHTLY CONSERVATIVE,3000
3.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,HEALTH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,60000
3.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,NURSING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,60000
1.0,BACHELOR,BACHELOR,GRADUATE,MALE,BUSINESS ADMINISTRATION,High School diploma,M AND F RELATIVES,BOTH IN U.S,ALL IN U.S,MODERATE,40000
2.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,HISTORY,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,30000
4.0,BACHELOR,LT HIGH SCHOOL,HIGH SCHOOL,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,22500
1.0,GRADUATE,BACHELOR,JUNIOR COLLEGE,MALE,LAW,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,40000
1.0,BACHELOR,BACHELOR,BACHELOR,FEMALE,FINANCE,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,35000
1.0,GRADUATE,BACHELOR,BACHELOR,MALE,POLITICAL SCIENCE/INTERNATIONAL RELATIONS,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,30000
2.0,BACHELOR,GRADUATE,HIGH SCHOOL,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,MODERATE,40000
3.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,HEALTH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,15000
2.0,BACHELOR,BACHELOR,BACHELOR,FEMALE,Environmental Science/Ecology,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,50000
2.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,ALL IN U.S,MODERATE,50000
2.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,THEATER ARTS,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,25000
2.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,MALE,PSYCHOLOGY,High School diploma,FATHER & STPMOTHER,BOTH IN U.S,ALL IN U.S,MODERATE,75000
1.0,JUNIOR COLLEGE,LT HIGH SCHOOL,JUNIOR COLLEGE,FEMALE,ACCOUNTING/BOOKKEEPING,GED,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,40000
3.0,JUNIOR COLLEGE,LT HIGH SCHOOL,LT HIGH SCHOOL,MALE,HEALTH,High School diploma,MOTHER & FATHER,MOTHER ONLY,2.0,SLGHTLY CONSERVATIVE,25000
8.0,JUNIOR COLLEGE,HIGH SCHOOL,LT HIGH SCHOOL,MALE,BUSINESS ADMINISTRATION,GED,OTHER,BOTH IN U.S,ALL IN U.S,MODERATE,1000
2.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,MALE,Administrative Science/Public Administration,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,60000
1.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,SOCIAL WORK,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,LIBERAL,15000
6.0,BACHELOR,BACHELOR,BACHELOR,MALE,GENERAL SCIENCES,High School diploma,FATHER & STPMOTHER,BOTH IN U.S,2.0,CONSERVATIVE,1000
1.0,GRADUATE,LT HIGH SCHOOL,LT HIGH SCHOOL,MALE,ENGINEERING,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,LIBERAL,40000
15.0,GRADUATE,LT HIGH SCHOOL,LT HIGH SCHOOL,FEMALE,HEALTH,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,LIBERAL,1000
9.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,FEMALE,AGRICULTURE/HORTICULTURE,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,50000
2.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,COMMUNICATIONS/SPEECH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,17500
1.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,MALE,PSYCHOLOGY,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,20000
2.0,JUNIOR COLLEGE,GRADUATE,GRADUATE,FEMALE,GENERAL STUDIES,High School diploma,MOTHER & FATHER,BOTH IN U.S,4.0,SLIGHTLY LIBERAL,20000
2.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,MALE,LIBERAL ARTS,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,LIBERAL,35000
2.0,BACHELOR,HIGH SCHOOL,LT HIGH SCHOOL,FEMALE,LIBERAL ARTS,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,CONSERVATIVE,22500
1.0,JUNIOR COLLEGE,GRADUATE,GRADUATE,MALE,Criminology/Criminal Justice,High School diploma,FATHER & STPMOTHER,BOTH IN U.S,1.0,MODERATE,25000
1.0,GRADUATE,HIGH SCHOOL,GRADUATE,MALE,MATHMATICS,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,60000
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,FINANCE,High School diploma,FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,50000
2.0,JUNIOR COLLEGE,BACHELOR,JUNIOR COLLEGE,FEMALE,GENERAL SCIENCES,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,EXTRMLY CONSERVATIVE,40000
3.0,BACHELOR,GRADUATE,GRADUATE,FEMALE,ENGINEERING,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,90000
5.0,GRADUATE,HIGH SCHOOL,LT HIGH SCHOOL,MALE,THEOLOGY,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,17500
0.0,BACHELOR,HIGH SCHOOL,LT HIGH SCHOOL,MALE,PHYSICAL EDUCATION,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,CONSERVATIVE,60000
2.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,MALE,PHYSICS,High School diploma,M AND F RELATIVES,BOTH IN U.S,1.0,SLGHTLY CONSERVATIVE,15000
6.0,BACHELOR,JUNIOR COLLEGE,HIGH SCHOOL,MALE,Environmental Science/Ecology,GED,FATHER & STPMOTHER,BOTH IN U.S,4.0,CONSERVATIVE,30000
3.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,OTHER,High School diploma,MOTHER,FATHER ONLY,2.0,EXTREMELY LIBERAL,60000
9.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,BUSINESS ADMINISTRATION,High School diploma,M AND F RELATIVES,FATHER ONLY,ALL IN U.S,MODERATE,25000
1.0,BACHELOR,BACHELOR,HIGH SCHOOL,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,25000
1.0,GRADUATE,BACHELOR,BACHELOR,MALE,ENGLISH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,75000
4.0,BACHELOR,GRADUATE,GRADUATE,FEMALE,PHYSICAL EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,1000
2.0,BACHELOR,BACHELOR,HIGH SCHOOL,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,35000
6.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,MALE,BUSINESS ADMINISTRATION,GED,MOTHER,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,10000
0.0,BACHELOR,BACHELOR,HIGH SCHOOL,MALE,NURSING,High School diploma,MALE RELATIVE,BOTH IN U.S,ALL IN U.S,MODERATE,50000
2.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,CONSERVATIVE,50000
0.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,12500
3.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,BIOLOGY,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,50000
2.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,75000
2.0,BACHELOR,HIGH SCHOOL,GRADUATE,FEMALE,Child/Human/Family Development,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,12500
5.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,25000
1.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,MALE,GENERAL SCIENCES,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,20000
1.0,JUNIOR COLLEGE,BACHELOR,HIGH SCHOOL,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,7000
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,Criminology/Criminal Justice,High School diploma,MOTHER & FATHER,FATHER ONLY,2.0,CONSERVATIVE,40000
2.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,COMPUTER SCIENCE,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,17500
4.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,LIBERAL,22500
2.0,JUNIOR COLLEGE,LT HIGH SCHOOL,HIGH SCHOOL,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,22500
6.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,EDUCATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,40000
1.0,GRADUATE,GRADUATE,GRADUATE,FEMALE,MEDICINE,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,SLGHTLY CONSERVATIVE,90000
3.0,BACHELOR,BACHELOR,JUNIOR COLLEGE,FEMALE,PSYCHOLOGY,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,SLGHTLY CONSERVATIVE,75000
1.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,30000
3.0,JUNIOR COLLEGE,HIGH SCHOOL,LT HIGH SCHOOL,FEMALE,Human Services/Human Resources,High School diploma,MOTHER,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,40000
0.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,LIBERAL,90000
2.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,MALE,HEALTH,High School diploma,MOTHER & FATHER,MOTHER ONLY,1.0,CONSERVATIVE,50000
2.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,110000
2.0,BACHELOR,HIGH SCHOOL,BACHELOR,MALE,PSYCHOLOGY,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,50000
2.0,JUNIOR COLLEGE,LT HIGH SCHOOL,BACHELOR,MALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,LIBERAL,50000
2.0,BACHELOR,HIGH SCHOOL,GRADUATE,FEMALE,Administrative Science/Public Administration,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,LIBERAL,1000
1.0,GRADUATE,JUNIOR COLLEGE,HIGH SCHOOL,FEMALE,BUSINESS ADMINISTRATION,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,75000
2.0,BACHELOR,GRADUATE,BACHELOR,FEMALE,PSYCHOLOGY,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,LIBERAL,22500
1.0,GRADUATE,GRADUATE,GRADUATE,MALE,COMPUTER SCIENCE,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,130000
3.0,GRADUATE,JUNIOR COLLEGE,GRADUATE,FEMALE,EDUCATION,High School diploma,MOTHER & FATHER,MOTHER ONLY,ALL IN U.S,LIBERAL,110000
7.0,BACHELOR,HIGH SCHOOL,LT HIGH SCHOOL,MALE,ACCOUNTING/BOOKKEEPING,GED,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,60000
4.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,MALE,LAW ENFORCEMENT,High School diploma,MOTHER,BOTH IN U.S,4.0,MODERATE,110000
2.0,BACHELOR,GRADUATE,GRADUATE,FEMALE,BUSINESS ADMINISTRATION,High School diploma,OTHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,50000
1.0,JUNIOR COLLEGE,LT HIGH SCHOOL,HIGH SCHOOL,FEMALE,GENERAL SCIENCES,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,40000
2.0,GRADUATE,HIGH SCHOOL,GRADUATE,MALE,Urban and Regional Planning,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,LIBERAL,60000
1.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,HISTORY,High School diploma,MOTHER & FATHER,FATHER ONLY,2.0,MODERATE,25000
1.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,MALE,LIBERAL ARTS,High School diploma,MOTHER,BOTH IN U.S,ALL IN U.S,MODERATE,40000
0.0,GRADUATE,GRADUATE,BACHELOR,MALE,ENGINEERING,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,SLGHTLY CONSERVATIVE,110000
5.0,GRADUATE,BACHELOR,BACHELOR,FEMALE,EDUCATION,High School diploma,MOTHER & STPFATHER,BOTH IN U.S,ALL IN U.S,MODERATE,50000
3.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,MALE,ECONOMICS,High School diploma,FATHER,MOTHER ONLY,2.0,LIBERAL,35000
3.0,GRADUATE,HIGH SCHOOL,JUNIOR COLLEGE,MALE,POLITICAL SCIENCE/INTERNATIONAL RELATIONS,High School diploma,MOTHER,NEITHER IN U.S,4.0,LIBERAL,75000
1.0,GRADUATE,GRADUATE,BACHELOR,MALE,MEDICINE,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,150000
4.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,FEMALE,Human Services/Human Resources,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,25000
3.0,GRADUATE,JUNIOR COLLEGE,BACHELOR,FEMALE,EDUCATION,High School diploma,FATHER & STPMOTHER,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,40000
1.0,GRADUATE,HIGH SCHOOL,LT HIGH SCHOOL,MALE,EDUCATION,High School diploma,MOTHER & FATHER,NEITHER IN U.S,4.0,MODERATE,75000
2.0,GRADUATE,HIGH SCHOOL,JUNIOR COLLEGE,MALE,PHYSICAL EDUCATION,Other,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,50000
1.0,GRADUATE,BACHELOR,HIGH SCHOOL,FEMALE,ENGLISH,High School diploma,MOTHER & FATHER,BOTH IN U.S,ALL IN U.S,MODERATE,60000
0.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,FEMALE,BIOLOGY,High School diploma,MOTHER & FATHER,MOTHER ONLY,2.0,MODERATE,50000
2.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,FEMALE,Television/Film,High School diploma,MOTHER & FATHER,BOTH IN U.S,4.0,LIBERAL,75000
3.0,GRADUATE,BACHELOR,BACHELOR,FEMALE,LIBRARY SCIENCE,High School diploma,MOTHER & FATHER,BOTH IN U.S,1.0,LIBERAL,75000
