OCC10,SIBS,AGE,EDUC,PAEDUC,MAEDUC,DEGREE,PADEG,MADEG,MAJOR1,MAJOR2,DIPGED,SECTOR,BARATE,SEX,RACE,RES16,REG16,FAMILY16,MAWRKGRW,INCOM16,BORN,PARBORN,GRANBORN,POLVIEWS,INCOME
Education administrators,3.0,28.0,16.0,12.0,13.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,NEW ENGLAND,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$30000 TO 34999
Firefighters,9.0,40.0,14.0,11.0,9.0,JUNIOR COLLEGE,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,BLACK,CITY GT 250000,W. SOU. CENTRAL,MOTHER & STPFATHER,NO,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$75000 TO $89999
Registered nurses,7.0,45.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,BLACK,TOWN LT 50000,FOREIGN,M AND F RELATIVES,YES,FAR BELOW AVERAGE,NO,NEITHER IN U.S,4.0,EXTRMLY CONSERVATIVE,$40000 TO 49999
Diagnostic related technologists and technicians,1.0,44.0,14.0,12.0,13.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,CITY GT 250000,SOUTH ATLANTIC,MOTHER & FATHER,YES,AVERAGE,NO,NEITHER IN U.S,4.0,LIBERAL,$40000 TO 49999
"Sales representatives,  wholesale and manufacturing",4.0,33.0,17.0,9.0,14.0,BACHELOR,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,FARM,FOREIGN,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,$35000 TO 39999
Maids and housekeeping cleaners,5.0,34.0,15.0,9.0,,JUNIOR COLLEGE,LT HIGH SCHOOL,,,,,,,FEMALE,WHITE,TOWN LT 50000,FOREIGN,FATHER,,,NO,NEITHER IN U.S,4.0,,$12500 TO 14999
"Claims adjusters, appraisers, examiners, and investigators",3.0,32.0,16.0,12.0,15.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,FEMALE,BLACK,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$5 000 TO 5 999
Medical and health services managers,3.0,45.0,14.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,NO,AVERAGE,YES,BOTH IN U.S,2.0,SLIGHTLY LIBERAL,$60000 TO 74999
Insurance sales agents,3.0,43.0,14.0,10.0,12.0,JUNIOR COLLEGE,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$1 000 TO 2 999
Retail salespersons,2.0,22.0,14.0,14.0,16.0,JUNIOR COLLEGE,HIGH SCHOOL,GRADUATE,,,,,,FEMALE,OTHER,50000 TO 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,NO,NEITHER IN U.S,4.0,,$17500 TO 19999
"Nursing, psychiatric, and home health aides",3.0,33.0,14.0,,12.0,JUNIOR COLLEGE,,HIGH SCHOOL,,,,,,FEMALE,BLACK,CITY GT 250000,E. NOR. CENTRAL,FEMALE RELATIVE,NO,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$10000 TO 12499
Human resources managers,5.0,33.0,16.0,14.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,BLACK,CITY GT 250000,E. NOR. CENTRAL,FATHER & STPMOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$50000 TO 59999
Miscellaneous agricultural workers,3.0,40.0,14.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$12500 TO 14999
Elementary and middle school teachers,2.0,25.0,17.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$30000 TO 34999
Purchasing managers,2.0,40.0,16.0,14.0,15.0,BACHELOR,JUNIOR COLLEGE,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,PACIFIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$60000 TO 74999
Elementary and middle school teachers,3.0,33.0,17.0,18.0,17.0,BACHELOR,GRADUATE,BACHELOR,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",W. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$35000 TO 39999
Miscellaneous media and communication  workers,1.0,31.0,16.0,13.0,11.0,BACHELOR,HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,2.0,,$40000 TO 49999
Postal service mail carriers,4.0,31.0,14.0,,14.0,JUNIOR COLLEGE,,JUNIOR COLLEGE,,,,,,MALE,BLACK,BIG-CITY SUBURB,W. SOU. CENTRAL,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$40000 TO 49999
"Securities, commodities, and financial services sales agents",2.0,30.0,15.0,16.0,14.0,JUNIOR COLLEGE,BACHELOR,JUNIOR COLLEGE,,,,,,FEMALE,BLACK,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,AVERAGE,NO,NEITHER IN U.S,4.0,,$25000 TO 29999
Secondary school teachers,1.0,29.0,16.0,12.0,16.0,BACHELOR,HIGH SCHOOL,BACHELOR,,,,,,MALE,WHITE,FARM,W. SOU. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$40000 TO 49999
Automotive body and related repairers,2.0,33.0,16.0,14.0,12.0,BACHELOR,JUNIOR COLLEGE,HIGH SCHOOL,,,,,,MALE,WHITE,50000 TO 250000,E. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,FATHER ONLY,1.0,,$50000 TO 59999
Computer programmers,2.0,28.0,16.0,14.0,,GRADUATE,HIGH SCHOOL,,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,FATHER,,FAR ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$90000 - $109999
"Nursing, psychiatric, and home health aides",6.0,30.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,FEMALE,BLACK,CITY GT 250000,FOREIGN,MOTHER & FATHER,NO,FAR ABOVE AVERAGE,NO,NEITHER IN U.S,4.0,,$10000 TO 12499
Carpenters,9.0,44.0,14.0,,12.0,BACHELOR,,HIGH SCHOOL,,,,,,MALE,WHITE,FARM,W. SOU. CENTRAL,MOTHER & STPFATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,4.0,,$90000 - $109999
Secretaries and administrative assistants,2.0,30.0,14.0,4.0,,JUNIOR COLLEGE,LT HIGH SCHOOL,,,,,,,MALE,WHITE,CITY GT 250000,W. SOU. CENTRAL,FATHER,,AVERAGE,YES,BOTH IN U.S,4.0,SLGHTLY CONSERVATIVE,$40000 TO 49999
First-line supervisors of retail sales workers,1.0,23.0,14.0,,,JUNIOR COLLEGE,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,W. SOU. CENTRAL,M AND F RELATIVES,,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$30000 TO 34999
First-line supervisors of production and operating workers,2.0,26.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,MALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,ABOVE AVERAGE,NO,NEITHER IN U.S,4.0,,$15000 TO 17499
"Managers, all other",2.0,34.0,18.0,16.0,16.0,GRADUATE,BACHELOR,GRADUATE,,,,,,FEMALE,WHITE,50000 TO 250000,FOREIGN,MOTHER & FATHER,YES,,NO,NEITHER IN U.S,4.0,LIBERAL,$110000 OR OVER
Computer support specialists,0.0,24.0,16.0,17.0,17.0,BACHELOR,GRADUATE,GRADUATE,,,,,,MALE,WHITE,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,FAR BELOW AVERAGE,NO,NEITHER IN U.S,4.0,,$1 000 TO 2 999
Secretaries and administrative assistants,2.0,28.0,16.0,17.0,17.0,BACHELOR,GRADUATE,GRADUATE,,,,,,FEMALE,WHITE,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,FAR BELOW AVERAGE,NO,NEITHER IN U.S,4.0,SLGHTLY CONSERVATIVE,$40000 TO 49999
Miscellaneous legal support workers,3.0,26.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,MALE,WHITE,BIG-CITY SUBURB,SOUTH ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,FATHER ONLY,2.0,,$60000 TO 74999
Financial managers,1.0,40.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,SOUTH ATLANTIC,MOTHER & FATHER,NO,FAR BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,EXTRMLY CONSERVATIVE,$90000 - $109999
Elementary and middle school teachers,1.0,28.0,16.0,19.0,13.0,BACHELOR,GRADUATE,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,MOUNTAIN,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$40000 TO 49999
"Software developers, applications and systems software",1.0,42.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,FEMALE,OTHER,TOWN LT 50000,FOREIGN,MOTHER & FATHER,YES,AVERAGE,NO,NEITHER IN U.S,4.0,,$75000 TO $89999
Lawyers,7.0,28.0,19.0,16.0,14.0,GRADUATE,BACHELOR,JUNIOR COLLEGE,,,,,,MALE,WHITE,"COUNTRY,NONFARM",MOUNTAIN,MOTHER & STPFATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$110000 OR OVER
Computer and information systems managers,5.0,39.0,18.0,5.0,8.0,GRADUATE,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,OTHER,FARM,FOREIGN,MOTHER & FATHER,YES,FAR BELOW AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,$10000 TO 12499
Network and computer systems administrators,0.0,37.0,16.0,,13.0,BACHELOR,,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,SOUTH ATLANTIC,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,1.0,,$90000 - $109999
"Nursing, psychiatric, and home health aides",4.0,44.0,13.0,9.0,9.0,JUNIOR COLLEGE,,HIGH SCHOOL,,,,,,FEMALE,BLACK,TOWN LT 50000,FOREIGN,M AND F RELATIVES,NO,FAR BELOW AVERAGE,NO,NEITHER IN U.S,4.0,,$25000 TO 29999
Registered nurses,1.0,45.0,16.0,9.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,BLACK,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$60000 TO 74999
"Bookkeeping, accounting, and auditing clerks",3.0,45.0,16.0,16.0,18.0,BACHELOR,BACHELOR,GRADUATE,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,W. SOU. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,NO,BOTH IN U.S,ALL IN U.S,,$90000 - $109999
Physical therapists,8.0,43.0,18.0,7.0,13.0,BACHELOR,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,BLACK,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$75000 TO $89999
Environmental engineers,1.0,40.0,18.0,18.0,18.0,GRADUATE,GRADUATE,GRADUATE,,,,,,FEMALE,BLACK,50000 TO 250000,SOUTH ATLANTIC,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$60000 TO 74999
Librarians,3.0,34.0,19.0,,14.0,GRADUATE,,HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$35000 TO 39999
Elementary and middle school teachers,2.0,27.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,FEMALE,BLACK,CITY GT 250000,W. SOU. CENTRAL,MOTHER & STPFATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$40000 TO 49999
Phlebotomists,4.0,32.0,17.0,9.0,11.0,HIGH SCHOOL,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,NEW ENGLAND,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$10000 TO 12499
Network and computer systems administrators,1.0,41.0,14.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,CITY GT 250000,NEW ENGLAND,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,4.0,,$110000 OR OVER
Operations research analysts,4.0,41.0,17.0,19.0,19.0,BACHELOR,GRADUATE,GRADUATE,,,,,,FEMALE,BLACK,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,$110000 OR OVER
Counter and rental clerks,2.0,26.0,15.0,17.0,15.0,BACHELOR,GRADUATE,BACHELOR,,,,,,MALE,OTHER,BIG-CITY SUBURB,NEW ENGLAND,MOTHER & FATHER,YES,ABOVE AVERAGE,NO,NEITHER IN U.S,3.0,,$60000 TO 74999
Police and sheriff's patrol officers,1.0,30.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,BLACK,50000 TO 250000,SOUTH ATLANTIC,M AND F RELATIVES,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$35000 TO 39999
Elementary and middle school teachers,7.0,39.0,18.0,,6.0,GRADUATE,,LT HIGH SCHOOL,,,,,,FEMALE,BLACK,CITY GT 250000,MIDDLE ATLANTIC,MOTHER,YES,FAR BELOW AVERAGE,NO,NEITHER IN U.S,4.0,,$40000 TO 49999
"Bookkeeping, accounting, and auditing clerks",2.0,41.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$40000 TO 49999
First-line supervisors of correctional officers,3.0,36.0,15.0,8.0,8.0,JUNIOR COLLEGE,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$40000 TO 49999
Customer service representatives,8.0,35.0,16.0,16.0,12.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$35000 TO 39999
Desktop publishers,4.0,33.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,MALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,NO,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$40000 TO 49999
Medical scientists,2.0,23.0,16.0,16.0,14.0,BACHELOR,BACHELOR,JUNIOR COLLEGE,,,,,,FEMALE,BLACK,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & STPFATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$12500 TO 14999
Counselors,5.0,41.0,16.0,,12.0,BACHELOR,,HIGH SCHOOL,,,,,,MALE,BLACK,CITY GT 250000,E. NOR. CENTRAL,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$30000 TO 34999
First-line supervisors of construction trades and extraction workers,3.0,44.0,16.0,12.0,16.0,BACHELOR,HIGH SCHOOL,BACHELOR,,,,,,FEMALE,WHITE,FARM,W. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$40000 TO 49999
Public relations specialists,3.0,31.0,16.0,12.0,14.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,MALE,BLACK,CITY GT 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$60000 TO 74999
Personal financial advisors,1.0,44.0,16.0,16.0,12.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$110000 OR OVER
Psychologists,1.0,42.0,18.0,12.0,12.0,GRADUATE,,,,,,,,MALE,WHITE,BIG-CITY SUBURB,FOREIGN,MOTHER & FATHER,YES,AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,$60000 TO 74999
Other teachers and instructors,5.0,43.0,18.0,,16.0,GRADUATE,,BACHELOR,,,,,,FEMALE,WHITE,CITY GT 250000,W. NOR. CENTRAL,MOTHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,2.0,LIBERAL,$10000 TO 12499
Lawyers,0.0,33.0,20.0,20.0,20.0,GRADUATE,GRADUATE,GRADUATE,,,,,,FEMALE,WHITE,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,AVERAGE,NO,NEITHER IN U.S,4.0,LIBERAL,$60000 TO 74999
Travel agents,5.0,44.0,16.0,18.0,8.0,BACHELOR,GRADUATE,LT HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$30000 TO 34999
General and operations managers,2.0,32.0,16.0,12.0,15.0,BACHELOR,HIGH SCHOOL,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,W. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$40000 TO 49999
Automotive service technicians and mechanics,2.0,42.0,16.0,20.0,16.0,BACHELOR,GRADUATE,BACHELOR,,,,,,MALE,WHITE,BIG-CITY SUBURB,W. NOR. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,1.0,,$60000 TO 74999
Elementary and middle school teachers,2.0,34.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,50000 TO 250000,W. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$25000 TO 29999
"Securities, commodities, and financial services sales agents",3.0,29.0,17.0,,,BACHELOR,,,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,OTHER,,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$110000 OR OVER
Elementary and middle school teachers,1.0,40.0,20.0,18.0,12.0,GRADUATE,GRADUATE,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,W. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,,,$90000 - $109999
Operations research analysts,0.0,45.0,17.0,12.0,14.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,W. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,4.0,SLIGHTLY LIBERAL,$90000 - $109999
Recreation and fitness workers,0.0,36.0,18.0,13.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$8 000 TO 9 999
Physical therapists,1.0,28.0,18.0,12.0,14.0,GRADUATE,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,50000 TO 250000,SOUTH ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$40000 TO 49999
"Therapists, all other",1.0,31.0,18.0,19.0,16.0,GRADUATE,GRADUATE,BACHELOR,,,,,,FEMALE,WHITE,50000 TO 250000,E. SOU. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$40000 TO 49999
Social workers,0.0,26.0,16.0,,16.0,BACHELOR,,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,NEW ENGLAND,MOTHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$25000 TO 29999
"Wholesale and retail buyers, except farm products",1.0,25.0,16.0,18.0,14.0,BACHELOR,GRADUATE,JUNIOR COLLEGE,,,,,,MALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,NO,FAR ABOVE AVERAGE,YES,BOTH IN U.S,4.0,SLGHTLY CONSERVATIVE,$25000 TO 29999
"Managers, all other",1.0,32.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,MALE,WHITE,50000 TO 250000,SOUTH ATLANTIC,MOTHER & FATHER,NO,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$30000 TO 34999
Chemists and materials scientists,1.0,34.0,20.0,19.0,16.0,GRADUATE,GRADUATE,BACHELOR,,,,,,MALE,WHITE,BIG-CITY SUBURB,W. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$60000 TO 74999
Market research analysts and marketing specialists,1.0,27.0,16.0,20.0,13.0,BACHELOR,GRADUATE,HIGH SCHOOL,,,,,,MALE,WHITE,50000 TO 250000,W. SOU. CENTRAL,MOTHER & STPFATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,2.0,,$30000 TO 34999
Accountants and auditors,7.0,36.0,17.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,FEMALE,WHITE,CITY GT 250000,W. SOU. CENTRAL,MOTHER & STPFATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$35000 TO 39999
Postsecondary teachers,1.0,41.0,18.0,16.0,16.0,GRADUATE,BACHELOR,BACHELOR,,,,,,MALE,WHITE,BIG-CITY SUBURB,SOUTH ATLANTIC,MOTHER & FATHER,NO,AVERAGE,YES,BOTH IN U.S,2.0,,$60000 TO 74999
"Library assistants, clerical",1.0,31.0,16.0,20.0,16.0,BACHELOR,GRADUATE,BACHELOR,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,SOUTH ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,FATHER ONLY,3.0,,$8 000 TO 9 999
Secondary school teachers,4.0,26.0,16.0,18.0,18.0,BACHELOR,GRADUATE,GRADUATE,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,SOUTH ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,2.0,,$30000 TO 34999
Automotive service technicians and mechanics,4.0,44.0,14.0,,2.0,JUNIOR COLLEGE,,LT HIGH SCHOOL,,,,,,MALE,OTHER,BIG-CITY SUBURB,PACIFIC,MOTHER,YES,BELOW AVERAGE,NO,NEITHER IN U.S,4.0,,$35000 TO 39999
Probation officers and correctional treatment specialists,3.0,28.0,16.0,,6.0,JUNIOR COLLEGE,,LT HIGH SCHOOL,,,,,,FEMALE,OTHER,50000 TO 250000,PACIFIC,MOTHER,YES,BELOW AVERAGE,YES,NEITHER IN U.S,4.0,,$30000 TO 34999
Elementary and middle school teachers,12.0,44.0,16.0,7.0,2.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,OTHER,BIG-CITY SUBURB,FOREIGN,MOTHER & FATHER,NO,BELOW AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,$50000 TO 59999
Secondary school teachers,0.0,22.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$7 000 TO 7 999
Radio and telecommunications equipment installers and repairers,4.0,28.0,14.0,12.0,,JUNIOR COLLEGE,HIGH SCHOOL,,,,,,,MALE,BLACK,CITY GT 250000,MIDDLE ATLANTIC,MOTHER & FATHER,NO,FAR BELOW AVERAGE,YES,FATHER ONLY,2.0,,$22500 TO 24999
"Managers, all other",2.0,36.0,16.0,16.0,15.0,BACHELOR,BACHELOR,JUNIOR COLLEGE,,,,,,MALE,WHITE,CITY GT 250000,PACIFIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$75000 TO $89999
"Software developers, applications and systems software",1.0,37.0,16.0,,16.0,BACHELOR,,BACHELOR,,,,,,MALE,WHITE,CITY GT 250000,PACIFIC,MOTHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$90000 - $109999
Management analysts,1.0,40.0,20.0,16.0,12.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,MALE,OTHER,BIG-CITY SUBURB,FOREIGN,MOTHER & FATHER,NO,ABOVE AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,$110000 OR OVER
Personal financial advisors,3.0,31.0,15.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,PACIFIC,MOTHER & FATHER,YES,AVERAGE,YES,MOTHER ONLY,2.0,CONSERVATIVE,$40000 TO 49999
Training and development specialists,5.0,29.0,14.0,16.0,14.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,TOWN LT 50000,PACIFIC,MOTHER & STPFATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,2.0,,$30000 TO 34999
